Date : 2025-08-08 19:53:13
Directory : d:\25cxx\gatesvr
Total : 85 files,  30168 codes, 2197 comments, 3549 blanks, all 35914 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Log              |          1 |     14,297 |          0 |          1 |     14,298 |
| Go               |         43 |     11,977 |      1,964 |      2,545 |     16,486 |
| Markdown         |         13 |      2,235 |          0 |        693 |      2,928 |
| Shell Script     |          5 |        451 |         63 |         96 |        610 |
| YAML             |          8 |        410 |         52 |         49 |        511 |
| Batch            |          6 |        347 |         37 |         79 |        463 |
| Makefile         |          1 |        201 |         35 |         35 |        271 |
| Go Checksum File |          1 |         76 |          0 |          1 |         77 |
| Docker           |          2 |         69 |         39 |         37 |        145 |
| PowerShell       |          1 |         50 |          7 |          8 |         65 |
| Go Module File   |          1 |         28 |          0 |          5 |         33 |
| XML              |          2 |         17 |          0 |          0 |         17 |
| JSON             |          1 |         10 |          0 |          0 |         10 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                       |         85 |     30,168 |      2,197 |      3,549 |     35,914 |
| . (Files)                                               |         28 |     17,695 |        145 |        865 |     18,705 |
| .claude                                                 |          1 |         10 |          0 |          0 |         10 |
| .idea                                                   |          2 |         17 |          0 |          0 |         17 |
| cmd                                                     |          5 |      1,642 |        149 |        292 |      2,083 |
| cmd\client                                              |          1 |        716 |         68 |        126 |        910 |
| cmd\gatesvr                                             |          1 |        367 |         51 |         58 |        476 |
| cmd\gencerts                                            |          1 |        103 |          8 |         19 |        130 |
| cmd\monitor                                             |          1 |        375 |         11 |         69 |        455 |
| cmd\upstream                                            |          1 |         81 |         11 |         20 |        112 |
| docker                                                  |          3 |        100 |         43 |         41 |        184 |
| docker\config                                           |          1 |         31 |          4 |          4 |         39 |
| docker\gatesvr                                          |          1 |         33 |         20 |         19 |         72 |
| docker\upstream                                         |          1 |         36 |         19 |         18 |         73 |
| internal                                                |         34 |      8,323 |      1,645 |      1,926 |     11,894 |
| internal\backup                                         |          8 |      2,397 |        405 |        550 |      3,352 |
| internal\client                                         |          1 |        693 |        119 |        167 |        979 |
| internal\config                                         |          1 |        249 |         27 |         33 |        309 |
| internal\gateway                                        |         14 |      2,503 |        668 |        562 |      3,733 |
| internal\message                                        |          1 |        237 |         44 |         60 |        341 |
| internal\session                                        |          5 |      1,293 |        271 |        324 |      1,888 |
| internal\upstream                                       |          4 |        951 |        111 |        230 |      1,292 |
| pkg                                                     |          1 |        150 |         33 |         38 |        221 |
| pkg\metrics                                             |          1 |        150 |         33 |         38 |        221 |
| proto                                                   |          3 |      1,862 |        137 |        289 |      2,288 |
| scripts                                                 |          8 |        369 |         45 |         98 |        512 |
+---------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\25cxx\gatesvr\.claude\settings.local.json            | JSON             |         10 |          0 |          0 |         10 |
| d:\25cxx\gatesvr\.idea\modules.xml                      | XML              |          8 |          0 |          0 |          8 |
| d:\25cxx\gatesvr\.idea\v1.iml                           | XML              |          9 |          0 |          0 |          9 |
| d:\25cxx\gatesvr\ASYNC_QUEUE_IMPLEMENTATION.md          | Markdown         |        183 |          0 |         42 |        225 |
| d:\25cxx\gatesvr\DOCKER-README.md                       | Markdown         |        242 |          0 |         94 |        336 |
| d:\25cxx\gatesvr\GRPC_UNICAST_SUMMARY.md                | Markdown         |        116 |          0 |         38 |        154 |
| d:\25cxx\gatesvr\LATENCY_MONITORING.md                  | Markdown         |        160 |          0 |         46 |        206 |
| d:\25cxx\gatesvr\Makefile                               | Makefile         |        201 |         35 |         35 |        271 |
| d:\25cxx\gatesvr\OPTIMIZATION_SUMMARY.md                | Markdown         |        309 |          0 |         80 |        389 |
| d:\25cxx\gatesvr\PPROF_USAGE.md                         | Markdown         |        164 |          0 |         46 |        210 |
| d:\25cxx\gatesvr\QUICKSTART.md                          | Markdown         |        272 |          0 |         99 |        371 |
| d:\25cxx\gatesvr\README-backup.md                       | Markdown         |        158 |          0 |         46 |        204 |
| d:\25cxx\gatesvr\SUPPORTED_ACTIONS.md                   | Markdown         |        256 |          0 |         58 |        314 |
| d:\25cxx\gatesvr\build-docker.bat                       | Batch            |         79 |         13 |         20 |        112 |
| d:\25cxx\gatesvr\build-docker.sh                        | Shell Script     |         83 |         15 |         22 |        120 |
| d:\25cxx\gatesvr\build.bat                              | Batch            |         45 |          0 |          8 |         53 |
| d:\25cxx\gatesvr\cmd\client\main.go                     | Go               |        716 |         68 |        126 |        910 |
| d:\25cxx\gatesvr\cmd\gatesvr\main.go                    | Go               |        367 |         51 |         58 |        476 |
| d:\25cxx\gatesvr\cmd\gencerts\main.go                   | Go               |        103 |          8 |         19 |        130 |
| d:\25cxx\gatesvr\cmd\monitor\main.go                    | Go               |        375 |         11 |         69 |        455 |
| d:\25cxx\gatesvr\cmd\upstream\main.go                   | Go               |         81 |         11 |         20 |        112 |
| d:\25cxx\gatesvr\config-backup-remote.yaml              | YAML             |         25 |          8 |          6 |         39 |
| d:\25cxx\gatesvr\config-backup.yaml                     | YAML             |         25 |          7 |          5 |         37 |
| d:\25cxx\gatesvr\config-primary-remote.yaml             | YAML             |         25 |          8 |          6 |         39 |
| d:\25cxx\gatesvr\config.example.yaml                    | YAML             |         46 |          6 |          8 |         60 |
| d:\25cxx\gatesvr\config.yaml                            | YAML             |         35 |         11 |          9 |         55 |
| d:\25cxx\gatesvr\deploy-docker.bat                      | Batch            |        173 |         17 |         36 |        226 |
| d:\25cxx\gatesvr\deploy-docker.sh                       | Shell Script     |        181 |         17 |         31 |        229 |
| d:\25cxx\gatesvr\docker-compose.yml                     | YAML             |        192 |          7 |          6 |        205 |
| d:\25cxx\gatesvr\docker\config\docker-config.yaml       | YAML             |         31 |          4 |          4 |         39 |
| d:\25cxx\gatesvr\docker\gatesvr\Dockerfile              | Docker           |         33 |         20 |         19 |         72 |
| d:\25cxx\gatesvr\docker\upstream\Dockerfile             | Docker           |         36 |         19 |         18 |         73 |
| d:\25cxx\gatesvr\docker部署.md                            | Markdown         |         52 |          0 |         22 |         74 |
| d:\25cxx\gatesvr\gatesvr.log                            | Log              |     14,297 |          0 |          1 |     14,298 |
| d:\25cxx\gatesvr\go.mod                                 | Go Module File   |         28 |          0 |          5 |         33 |
| d:\25cxx\gatesvr\go.sum                                 | Go Checksum File |         76 |          0 |          1 |         77 |
| d:\25cxx\gatesvr\internal\backup\backup_manager.go      | Go               |        388 |         53 |         77 |        518 |
| d:\25cxx\gatesvr\internal\backup\data_validator.go      | Go               |        216 |         35 |         66 |        317 |
| d:\25cxx\gatesvr\internal\backup\failover.go            | Go               |        369 |         56 |         82 |        507 |
| d:\25cxx\gatesvr\internal\backup\heartbeat.go           | Go               |        546 |         93 |        119 |        758 |
| d:\25cxx\gatesvr\internal\backup\interfaces.go          | Go               |         61 |         50 |         47 |        158 |
| d:\25cxx\gatesvr\internal\backup\sync_receiver.go       | Go               |        326 |         58 |         71 |        455 |
| d:\25cxx\gatesvr\internal\backup\sync_service.go        | Go               |        394 |         48 |         73 |        515 |
| d:\25cxx\gatesvr\internal\backup\types.go               | Go               |         97 |         12 |         15 |        124 |
| d:\25cxx\gatesvr\internal\client\client.go              | Go               |        693 |        119 |        167 |        979 |
| d:\25cxx\gatesvr\internal\config\config.go              | Go               |        249 |         27 |         33 |        309 |
| d:\25cxx\gatesvr\internal\gateway\config.go             | Go               |         28 |          9 |         10 |         47 |
| d:\25cxx\gatesvr\internal\gateway\handlers.go           | Go               |        323 |         58 |         72 |        453 |
| d:\25cxx\gatesvr\internal\gateway\http_handlers.go      | Go               |        392 |        288 |         57 |        737 |
| d:\25cxx\gatesvr\internal\gateway\ordered_sender.go     | Go               |        124 |         18 |         32 |        174 |
| d:\25cxx\gatesvr\internal\gateway\overload_protector.go | Go               |        285 |         46 |         61 |        392 |
| d:\25cxx\gatesvr\internal\gateway\performance.go        | Go               |        376 |         47 |         88 |        511 |
| d:\25cxx\gatesvr\internal\gateway\server.go             | Go               |        195 |         47 |         60 |        302 |
| d:\25cxx\gatesvr\internal\gateway\server_connection.go  | Go               |        273 |         47 |         54 |        374 |
| d:\25cxx\gatesvr\internal\gateway\server_push.go        | Go               |         37 |          4 |          9 |         50 |
| d:\25cxx\gatesvr\internal\gateway\server_start.go       | Go               |        106 |         31 |         32 |        169 |
| d:\25cxx\gatesvr\internal\gateway\simple_performance.go | Go               |         47 |          4 |          6 |         57 |
| d:\25cxx\gatesvr\internal\gateway\simple_tracker.go     | Go               |         77 |         12 |         14 |        103 |
| d:\25cxx\gatesvr\internal\gateway\unicast_service.go    | Go               |        185 |         47 |         52 |        284 |
| d:\25cxx\gatesvr\internal\gateway\upstream_router.go    | Go               |         55 |         10 |         15 |         80 |
| d:\25cxx\gatesvr\internal\message\codec.go              | Go               |        237 |         44 |         60 |        341 |
| d:\25cxx\gatesvr\internal\session\manager.go            | Go               |        517 |         93 |        120 |        730 |
| d:\25cxx\gatesvr\internal\session\notify_ordering.go    | Go               |        118 |         28 |         34 |        180 |
| d:\25cxx\gatesvr\internal\session\ordered_queue.go      | Go               |        245 |         37 |         53 |        335 |
| d:\25cxx\gatesvr\internal\session\queue_config.go       | Go               |         25 |          3 |          7 |         35 |
| d:\25cxx\gatesvr\internal\session\session.go            | Go               |        388 |        110 |        110 |        608 |
| d:\25cxx\gatesvr\internal\upstream\manager.go           | Go               |        119 |         16 |         37 |        172 |
| d:\25cxx\gatesvr\internal\upstream\server.go            | Go               |        571 |         66 |        123 |        760 |
| d:\25cxx\gatesvr\internal\upstream\services.go          | Go               |        137 |         16 |         38 |        191 |
| d:\25cxx\gatesvr\internal\upstream\unicast_client.go    | Go               |        124 |         13 |         32 |        169 |
| d:\25cxx\gatesvr\optimize_queue_analysis.md             | Markdown         |        116 |          0 |         31 |        147 |
| d:\25cxx\gatesvr\pkg\metrics\metrics.go                 | Go               |        150 |         33 |         38 |        221 |
